# spectral number density of the CMB photon field
# -----------------------------------------------
# nu [Hz],dn/de [m-3 eV-1]
5.128613839912966639e+07,6.490776515595439672e+08
5.248074602497024834e+07,6.641896253707979918e+08
5.370317963701807708e+07,6.796532730400851965e+08
5.495408738575506210e+07,6.954767705913857222e+08
5.623413251902731508e+07,7.116684837619284391e+08
5.754399373370789737e+07,7.282369723867563009e+08
5.888436553555088490e+07,7.451909948838012218e+08
6.025595860742755234e+07,7.625395128417315483e+08
6.165950018613976985e+07,7.802916957128891945e+08
6.309573444801065326e+07,7.984569256136771441e+08
6.456542290345665067e+07,8.170448022348123789e+08
6.606934480075045675e+07,8.360651478639168739e+08
6.760829753918878734e+07,8.555280125229599476e+08
6.918309709188400209e+07,8.754436792231324911e+08
7.079457843840387464e+07,8.958226693397834301e+08
7.244359600748883188e+07,9.166757481100956202e+08
7.413102413008131087e+07,9.380139302562586069e+08
7.585775750290764868e+07,9.598484857369306087e+08
7.762471166285815835e+07,9.821909456298552752e+08
7.943282347241683304e+07,1.005053108148552060e+09
8.128305161639830470e+07,1.028447044796074629e+09
8.317637711025518179e+07,1.052385106658869267e+09
8.511380382022540271e+07,1.076879930843860149e+09
8.709635899559549987e+07,1.101944447061926365e+09
8.912509381336164474e+07,1.127591884361020565e+09
9.120108393557772040e+07,1.153835778012244225e+09
9.332543007968549430e+07,1.180689976552244663e+09
9.549925860212963820e+07,1.208168648985401154e+09
9.772372209556673467e+07,1.236286292149309158e+09
9.999999999998527765e+07,1.265057738247167826e+09
1.023292992280602902e+08,1.294498162550729752e+09
1.047128548050744236e+08,1.324623091277553558e+09
1.071519305237447023e+08,1.355448409646396637e+09
1.096478196143021435e+08,1.386990370114623547e+09
1.122018454301795363e+08,1.419265600801620722e+09
1.148153621496710181e+08,1.452291114102267265e+09
1.174897554939352423e+08,1.486084315494603395e+09
1.202264434617231190e+08,1.520663012545917273e+09
1.230268770812194943e+08,1.556045424121546030e+09
1.258925411793975681e+08,1.592250189800799608e+09
1.288249551692937315e+08,1.629296379504472733e+09
1.318256738556205332e+08,1.667203503338491201e+09
1.348962882591446340e+08,1.705991521658402443e+09
1.380384264602672160e+08,1.745680855359384060e+09
1.412537544622535706e+08,1.786292396396666527e+09
1.445439770745703280e+08,1.827847518541263342e+09
1.479108388167977333e+08,1.870368088376042366e+09
1.513561248435972035e+08,1.913876476537276983e+09
1.548816618912238777e+08,1.958395569206857443e+09
1.584893192460864484e+08,2.003948779860508919e+09
1.621810097358674407e+08,2.050560061277409315e+09
1.659586907437298298e+08,2.098253917816735744e+09
1.698243652461475134e+08,2.147055417966750622e+09
1.737800828749099076e+08,2.196990207172123432e+09
1.778279410038639009e+08,2.248084520945359230e+09
1.819700858609692156e+08,2.300365198268206596e+09
1.862087136662568450e+08,2.353859695289115429e+09
1.905460717962940633e+08,2.408596099322858810e+09
1.949844599757730663e+08,2.464603143158583641e+09
1.995262314968556464e+08,2.521910219682628632e+09
2.041737944669197798e+08,2.580547396822600365e+09
2.089296130853698850e+08,2.640545432819225311e+09
2.137962089501882493e+08,2.701935791832743645e+09
2.187761623949193954e+08,2.764750659890563965e+09
2.238721138567971587e+08,2.829022961183127880e+09
2.290867652767395079e+08,2.894786374715002060e+09
2.344228815319534242e+08,2.962075351318308353e+09
2.398832919019092321e+08,3.030925131035755157e+09
2.454708915684621930e+08,3.101371760880629539e+09
2.511886431509160995e+08,3.173452112981192589e+09
2.570395782768433392e+08,3.247203903117110252e+09
2.630267991894940436e+08,3.322665709655556679e+09
2.691534803926462531e+08,3.399876992894844055e+09
2.754228703337701559e+08,3.478878114823475838e+09
2.818382931263976097e+08,3.559710359302663326e+09
2.884031503126115799e+08,3.642415952680428982e+09
2.951209226665883064e+08,3.727038084845577717e+09
3.019951720401500463e+08,3.813620930729855061e+09
3.090295432513061166e+08,3.902209672266798496e+09
3.162277660167835951e+08,3.992850520815795898e+09
3.235936569295725226e+08,4.085590740060104847e+09
3.311311214825338721e+08,4.180478669387499332e+09
3.388441561391438246e+08,4.277563747762526035e+09
3.467368504524713755e+08,4.376896538099253654e+09
3.548133892335135937e+08,4.478528752143630028e+09
3.630780547700378895e+08,4.582513275874558449e+09
3.715352290971074104e+08,4.688904195432981491e+09
3.801893963204944134e+08,4.797756823588216782e+09
3.890451449942120910e+08,4.909127726751049042e+09
3.981071705534269214e+08,5.023074752542939186e+09
4.073802778040405512e+08,5.139657057930999756e+09
4.168693834702613354e+08,5.258935137938227654e+09
4.265795188015166521e+08,5.380970854938786507e+09
4.365158322400879860e+08,5.505827468547936440e+09
4.466835921508830786e+08,5.633569666116457939e+09
4.570881896147928834e+08,5.764263593839317322e+09
4.677351412871139050e+08,5.897976888488400459e+09
4.786300923225519061e+08,6.034778709779215813e+09
4.897788193683574796e+08,6.174739773381339073e+09
5.011872336271812320e+08,6.317932384582571030e+09
5.128613839912714362e+08,6.464430472616511345e+09
5.248074602496768236e+08,6.614309625663578033e+09
5.370317963701543808e+08,6.767647126535074234e+09
5.495408738575236797e+08,6.924521989050218582e+09
5.623413251902455091e+08,7.085014995115731239e+09
5.754399373370506763e+08,7.249208732517699242e+09
5.888436553554800749e+08,7.417187633435169220e+09
6.025595860742459297e+08,7.589038013684962273e+09
6.165950018613674641e+08,7.764848112707064629e+09
6.309573444800754786e+08,7.944708134299654007e+09
6.456542290345346928e+08,8.128710288112920761e+09
6.606934480074721575e+08,8.316948831910406113e+09
6.760829753918546438e+08,8.509520114606616020e+09
6.918309709188060760e+08,8.706522620089187622e+09
7.079457843840041161e+08,8.908057011833936691e+09
7.244359600748528242e+08,9.114226178320495605e+09
7.413102413007766008e+08,9.325135279256332397e+09
7.585775750290392637e+08,9.540891792616201401e+09
7.762471166285436153e+08,9.761605562504119873e+09
7.943282347241294384e+08,9.987388847844198227e+09
8.128305161639432907e+08,1.021835637190652657e+10
8.317637711025109291e+08,1.045462537267366409e+10
8.511380382022122145e+08,1.069631565405279732e+10
8.709635899559122324e+08,1.094354963793824577e+10
8.912509381335726976e+08,1.119645241712815857e+10
9.120108393557324409e+08,1.145515180909878922e+10
9.332543007968090773e+08,1.171977841063908386e+10
9.549925860212494135e+08,1.199046565334741020e+10
9.772372209556192160e+08,1.226734985999159431e+10
9.999999999998036623e+08,1.255057030173272324e+10
1.023292992280552745e+09,1.284026925621189880e+10
1.047128548050692916e+09,1.313659206649868011e+10
1.071519305237394571e+09,1.343968720089842224e+10
1.096478196142967463e+09,1.374970631361505890e+10
1.122018454301740408e+09,1.406680430626448822e+10
1.148153621496653795e+09,1.439113939023241234e+10
1.174897554939294815e+09,1.472287314986955452e+10
1.202264434617172241e+09,1.506217060651526260e+10
1.230268770812134504e+09,1.540920028333949280e+10
1.258925411793913841e+09,1.576413427099130821e+10
1.288249551692873955e+09,1.612714829404040527e+10
1.318256738556140423e+09,1.649842177819669724e+10
1.348962882591380119e+09,1.687813791829055786e+10
1.380384264602604151e+09,1.726648374699497223e+10
1.412537544622466564e+09,1.766365020426828384e+10
1.445439770745632410e+09,1.806983220749425888e+10
1.479108388167904615e+09,1.848522872229372025e+10
1.513561248435897589e+09,1.891004283397968292e+10
1.548816618912163019e+09,1.934448181962516022e+10
1.584893192460786819e+09,1.978875722070999146e+10
1.621810097358594894e+09,2.024308491631055069e+10
1.659586907437216759e+09,2.070768519679250336e+10
1.698243652461391687e+09,2.118278283796414948e+10
1.737800828749013662e+09,2.166860717564394379e+10
1.778279410038551807e+09,2.216539218059277344e+10
1.819700858609602928e+09,2.267337653375711823e+10
1.862087136662477016e+09,2.319280370176597595e+10
1.905460717962846756e+09,2.372392201261971283e+10
1.949844599757634640e+09,2.426698473150446701e+10
1.995262314968458414e+09,2.482225013666207123e+10
2.041737944669097424e+09,2.538998159523931503e+10
2.089296130853596449e+09,2.597044763903610611e+10
2.137962089501777887e+09,2.656392204006657791e+10
2.187761623949086666e+09,2.717068388584119797e+10
2.238721138567861557e+09,2.779101765427245331e+10
2.290867652767282486e+09,2.842521328810028839e+10
2.344228815319419384e+09,2.907356626872683334e+10
2.398832919018974781e+09,2.973637768934331131e+10
2.454708915684501171e+09,3.041395432722480011e+10
2.511886431509037495e+09,3.110660871506107330e+10
2.570395782768307209e+09,3.181465921118337631e+10
2.630267991894811153e+09,3.253843006853987885e+10
2.691534803926330566e+09,3.327825150226257324e+10
2.754228703337565899e+09,3.403445975566019440e+10
2.818382931263838291e+09,3.480739716446211243e+10
2.884031503125974655e+09,3.559741221912825012e+10
2.951209226665738106e+09,3.640485962502944183e+10
3.019951720401351929e+09,3.723010036029230499e+10
3.090295432512909412e+09,3.807350173109097290e+10
3.162277660167681217e+09,3.893543742415667725e+10
3.235936569295566559e+09,3.981628755626300812e+10
3.311311214825176239e+09,4.071643872043296814e+10
3.388441561391272068e+09,4.163628402859934998e+10
3.467368504524543762e+09,4.257622315043642426e+10
3.548133892334962368e+09,4.353666234806662750e+10
3.630780547700200558e+09,4.451801450632983398e+10
3.715352290970891953e+09,4.552069915828744507e+10
3.801893963204757214e+09,4.654514250561699677e+10
3.890451449941929340e+09,4.759177743353491211e+10
3.981071705534073353e+09,4.866104351986842346e+10
4.073802778040205479e+09,4.975338703787710571e+10
4.168693834702408791e+09,5.086926095240663147e+10
4.265795188014957428e+09,5.200912490893616486e+10
4.365158322400665283e+09,5.317344521505928802e+10
4.466835921508611679e+09,5.436269481391837311e+10
4.570881896147704124e+09,5.557735324908605957e+10
4.677351412870909691e+09,5.681790662036796570e+10
4.786300923225283623e+09,5.808484752997283173e+10
4.897788193683334351e+09,5.937867501847210693e+10
5.011872336271566391e+09,6.069989448994503021e+10
5.128613839912462234e+09,6.204901762567687988e+10
5.248074602496509552e+09,6.342656228575000000e+10
5.370317963701280594e+09,6.483305239783811188e+10
5.495408738574966431e+09,6.626901783248330688e+10
5.623413251902179718e+09,6.773499426410462189e+10
5.754399373370224953e+09,6.923152301695317078e+10
5.888436553554511070e+09,7.075915089519662476e+10
6.025595860742163658e+09,7.231842999627983093e+10
6.165950018613372803e+09,7.390991750667414856e+10
6.309573444800446510e+09,7.553417547908840942e+10
6.456542290345030785e+09,7.719177059018009949e+10
6.606934480074397087e+09,7.888327387776290894e+10
6.760829753918214798e+09,8.060926045646817017e+10
6.918309709187721252e+09,8.237030921077626038e+10
7.079457843839694023e+09,8.416700246429100037e+10
7.244359600748171806e+09,8.599992562408686829e+10
7.413102413007402420e+09,8.786966679891473389e+10
7.585775750290020943e+09,8.977681639000447083e+10
7.762471166285054207e+09,9.172196665315867615e+10
7.943282347240904808e+09,9.370571123078178406e+10
8.128305161639033318e+09,9.572864465244145203e+10
8.317637711024702072e+09,9.779136180250949097e+10
8.511380382021705627e+09,9.989445735337962341e+10
8.709635899558694839e+09,1.020385251627075653e+11
8.912509381335289001e+09,1.042241576330688477e+11
9.120108393556877136e+09,1.064519450323757019e+11
9.332543007967632294e+09,1.087224747733435516e+11
9.549925860212024689e+09,1.110363306502445374e+11
9.772372209555713654e+09,1.133940920311307678e+11
9.999999999997545242e+09,1.157963330036599579e+11
1.023292992280502510e+10,1.182436214726006927e+11
1.047128548050641441e+10,1.207365182070435638e+11
1.071519305237341881e+10,1.232755758352918854e+11
1.096478196142913818e+10,1.258613377853560486e+11
1.122018454301685333e+10,1.284943371689232025e+11
1.148153621496597481e+10,1.311750956066289825e+11
1.174897554939237022e+10,1.339041219924074554e+11
1.202264434617113113e+10,1.366819111946549988e+11
1.230268770812074280e+10,1.395089426918975220e+11
1.258925411793852234e+10,1.423856791406143799e+11
1.288249551692810822e+10,1.453125648728364868e+11
1.318256738556075859e+10,1.482900243211005554e+11
1.348962882591313934e+10,1.513184603683197327e+11
1.380384264602536583e+10,1.543982526201032410e+11
1.412537544622397232e+10,1.575297555970438843e+11
1.445439770745561409e+10,1.607132968444822083e+11
1.479108388167831993e+10,1.639491749572505798e+11
1.513561248435823250e+10,1.672376575169073486e+11
1.548816618912086678e+10,1.705789789389862976e+11
1.584893192460709000e+10,1.739733382278055725e+11
1.621810097358515167e+10,1.774208966364213562e+11
1.659586907437135506e+10,1.809217752293520203e+11
1.698243652461308479e+10,1.844760523457629700e+11
1.737800828748928452e+10,1.880837609608734436e+11
1.778279410038464355e+10,1.917448859434401855e+11
1.819700858609513474e+10,1.954593612072758179e+11
1.862087136662385559e+10,1.992270667548908081e+11
1.905460717962753296e+10,2.030478256114935608e+11
1.949844599757538986e+10,2.069214006477486572e+11
1.995262314968360519e+10,2.108474912898960571e+11
2.041737944668997192e+10,2.148257301160436096e+11
2.089296130853493881e+10,2.188556793377009888e+11
2.137962089501672745e+10,2.229368271659005432e+11
2.187761623948979187e+10,2.270685840615601807e+11
2.238721138567751694e+10,2.312502788700975037e+11
2.290867652767170334e+10,2.354811548406814880e+11
2.344228815319304276e+10,2.397603655309463501e+11
2.398832919018856812e+10,2.440869705984531860e+11
2.454708915684381104e+10,2.484599314807106018e+11
2.511886431508914566e+10,2.528781069661326294e+11
2.570395782768181229e+10,2.573402486589308167e+11
2.630267991894682312e+10,2.618449963416235352e+11
2.691534803926198196e+10,2.663908732395795593e+11
2.754228703337430954e+10,2.709762811928212891e+11
2.818382931263699722e+10,2.755994957411846313e+11
2.884031503125833130e+10,2.802586611298750000e+11
2.951209226665593338e+10,2.849517852434850464e+11
3.019951720401203918e+10,2.896767344776314697e+11
3.090295432512757874e+10,2.944312285585609131e+11
3.162277660167525482e+10,2.992128353223430176e+11
3.235936569295407486e+10,3.040189654666304932e+11
3.311311214825014114e+10,3.088468672894295654e+11
3.388441561391106033e+10,3.136936214308794556e+11
3.467368504524373627e+10,3.185561356357013550e+11
3.548133892334787750e+10,3.234311395557422485e+11
3.630780547700022125e+10,3.283151796139197998e+11
3.715352290970709229e+10,3.332046139528502197e+11
3.801893963204570770e+10,3.380956074935541992e+11
3.890451449941738892e+10,3.429841271318323364e+11
3.981071705533877563e+10,3.478659371022461548e+11
4.073802778040005493e+10,3.527365945420692139e+11
4.168693834702204132e+10,3.575914452901337280e+11
4.265795188014747620e+10,3.624256199581616211e+11
4.365158322400450897e+10,3.672340303149417114e+11
4.466835921508392334e+10,3.720113660265767212e+11
4.570881896147480011e+10,3.767520917990044556e+11
4.677351412870680237e+10,3.814504449720258179e+11
4.786300923225048828e+10,3.861004336172105103e+11
4.897788193683094788e+10,3.906958351952156372e+11
5.011872336271321106e+10,3.952301958312767334e+11
5.128613839912211609e+10,3.996968302708728638e+11
